Traveller's Tales,LEGO Indiana Jones: The Original Adventures,X360
Maxis,The Sims: Unleashed,PC
Argonaut Games,Harry Potter and the Sorcerer's Stone,PS
Intelligent Systems,Super Paper Mario,Wii
Insomniac Games,Spyro: Year of the Dragon,PS
Ubisoft,Assassin's Creed IV: Black Flag,PS3
EA Canada,FIFA Soccer 2005,PS2
Neversoft Entertainment,Tony Hawk's Pro Skater 4,PS2
TOSE,MySims,DS
Rockstar Leeds,Midnight Club 3: DUB Edition,PSP
Zipper Interactive,SOCOM: U.S. Navy SEALs,PS2
Naughty Dog,Jak and Daxter: The Precursor Legacy,PS2
Konami,Pro Evolution Soccer 2008,PS2
Capcom,Resident Evil 4,PS2
Vicarious Visions,Guitar Hero: World Tour,Wii
EA Sports,FIFA Soccer 10,PS3
Pandemic Studios,Star Wars: Battlefront,PS2
Fox Interactive,The Simpsons: Road Rage,PS2
Nintendo,Luigi's Mansion,GC
EA DICE,Battlefield 4,PS4
Pandemic Studios,Star Wars: Battlefront II,PS2
Ubisoft,Just Dance 2014,Wii
Office Create,Cooking Mama 2: Dinner With Friends,DS
Rockstar Leeds,Grand Theft Auto: Liberty City Stories,PS2
Team Soho,The Getaway,PS2
EA Redwood Shores,James Bond 007: Agent Under Fire,PS2
EA Sports,FIFA Soccer 11,X360
Certain Affinity,Left 4 Dead,X360
"Ubisoft, Ubisoft Montreal",Assassin's Creed: Unity,XOne
Capcom,Resident Evil 5,X360
Ubisoft Montreal,Assassin's Creed: Brotherhood,X360
EA Canada,FIFA Soccer 2004,PS2
EA DICE,Battlefield 4,PS3
Rocksteady Studios,Batman: Arkham Asylum,X360
EA DICE,Battlefield 4,X360
EA DICE,Battlefield: Bad Company 2,X360
Vicarious Visions,Guitar Hero: On Tour,DS
Agenda,Clubhouse Games,DS
Gearbox Software,Borderlands,X360
Namco,Tekken 4,PS2
DMA Design,Grand Theft Auto 2,PS
"Kojima Productions, Moby Dick Studio",Metal Gear Solid V: The Phantom Pain,PS4
Treyarch,Spider-Man 2,PS2
EA Canada,FIFA Soccer 2003,PS2
Media Molecule,LittleBigPlanet 2,PS3
Eurocom Entertainment Software,Crash Bash,PS
Ubisoft Quebec,Assassin's Creed Syndicate,PS4
Traveller's Tales,LEGO Batman: The Videogame,X360
"Bungie Software, Bungie",Destiny,XOne
Ubisoft Montreal,Far Cry 3,PS3
Eurocom Entertainment Software,James Bond 007: Nightfire,PS2
Double Helix Games,Star Wars Episode III: Revenge of the Sith,PS2
Nintendo,The Legend of Zelda: Spirit Tracks,DS
Rockstar Toronto,Max Payne,PS2
Ubisoft,Assassin's Creed IV: Black Flag,X360
EA Games,The Lord of the Rings: The Return of the King,PS2
"Splash Damage, The Coalition",Gears of War: Ultimate Edition,XOne
"Luxoflux, Inc.",True Crime: Streets of LA,PS2
Level 5,Professor Layton and the Unwound Future,DS
EA Sports,FIFA 16,XOne
Nintendo,Wii Music,Wii
EA Sports,Madden NFL 16,PS4
Polyphony Digital,Gran Turismo 6,PS3
343 Industries,Halo: The Master Chief Collection,XOne
Nintendo,Super Mario Maker,WiiU
Ready at Dawn,God of War: Chains of Olympus,PSP
Shiny Entertainment,Enter the Matrix,PS2
